,MAL_ID,Genres,Type,Episodes,Studios,Rating,Start_year,Start_season,Score,range_episodes,Genres_Split,Studios_Split
37,56,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,"Bee Train, Xebec",R - 17+ (violence & profanity),2003,Fall,5.91,[13 - 25],"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']","['BeeTrain', 'Xebec']"
38,57,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,Madhouse,R - 17+ (violence & profanity),2004,Fall,8.31,[25 - 37],"['Comedy', 'Drama', 'Music', 'Shounen', 'SliceofLife']",['Madhouse']
39,58,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,AIC,R+ - Mild Nudity,1999,Fall,7.05,[25 - 37],"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",['AIC']
40,59,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,Madhouse,PG-13 - Teens 13 or older,2002,Spring,7.43,[25 - 37],"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",['Madhouse']
41,60,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,Gonzo,R - 17+ (violence & profanity),2003,Fall,7.66,[13 - 25],"['Action', 'Demons', 'Historical', 'Romance', 'Shounen', 'Supernatural']",['Gonzo']
42,61,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,Xebec,PG-13 - Teens 13 or older,2003,Spring,7.2,[25 - 37],"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",['Xebec']
43,62,"Harem, Drama, Magic, Romance",TV,26,"feel., Zexcs",PG-13 - Teens 13 or older,2003,Summer,6.77,[25 - 37],"['Harem', 'Drama', 'Magic', 'Romance']","['feel.', 'Zexcs']"
44,63,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,Daume,R+ - Mild Nudity,2004,Summer,6.62,[1 - 13],"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",['Daume']
45,64,"Action, Comedy, Drama, Magic, Seinen",TV,12,Nomad,PG-13 - Teens 13 or older,2004,Fall,7.44,[1 - 13],"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",['Nomad']
46,65,"Action, Comedy, Drama, Magic, Seinen",TV,12,Nomad,PG-13 - Teens 13 or older,2005,Fall,7.65,[1 - 13],"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",['Nomad']
47,66,"Slice of Life, Comedy, School",TV,26,J.C.Staff,PG-13 - Teens 13 or older,2002,Spring,7.98,[25 - 37],"['SliceofLife', 'Comedy', 'School']",['J.C.Staff']
48,67,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,Gonzo,R - 17+ (violence & profanity),2005,Spring,7.58,[13 - 25],"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",['Gonzo']
49,68,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,Gonzo,PG-13 - Teens 13 or older,2005,Fall,7.38,[13 - 25],"['Sci-Fi', 'Adventure', 'Comedy', 'SuperPower', 'Shounen']",['Gonzo']
50,69,"Action, Fantasy, Military, Sci-Fi",TV,25,Sunrise,PG-13 - Teens 13 or older,2005,Fall,6.35,[25 - 37],"['Action', 'Fantasy', 'Military', 'Sci-Fi']",['Sunrise']
51,71,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,Gonzo,R - 17+ (violence & profanity),2002,Winter,7.65,[13 - 25],"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",['Gonzo']
52,72,"Action, Comedy, School",TV,12,Kyoto Animation,PG-13 - Teens 13 or older,2003,Summer,8.07,[1 - 13],"['Action', 'Comedy', 'School']",['KyotoAnimation']
53,73,"Action, Military, Mecha",TV,13,Kyoto Animation,R - 17+ (violence & profanity),2005,Summer,7.96,[13 - 25],"['Action', 'Military', 'Mecha']",['KyotoAnimation']
54,74,"Comedy, School, Shoujo, Super Power",TV,26,Group TAC,G - All Ages,2004,Fall,7.65,[25 - 37],"['Comedy', 'School', 'Shoujo', 'SuperPower']",['GroupTAC']
55,75,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,Xebec,PG-13 - Teens 13 or older,2004,Summer,7.3,[25 - 37],"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",['Xebec']
56,76,"Action, Comedy, Drama, Magic, Super Power",TV,13,Seven Arcs,PG-13 - Teens 13 or older,2004,Fall,7.42,[13 - 25],"['Action', 'Comedy', 'Drama', 'Magic', 'SuperPower']",['SevenArcs']
57,77,"Action, Comedy, Drama, Magic, Super Power",TV,13,Seven Arcs,PG-13 - Teens 13 or older,2005,Fall,7.99,[13 - 25],"['Action', 'Comedy', 'Drama', 'Magic', 'SuperPower']",['SevenArcs']
58,79,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,Asread,R+ - Mild Nudity,2005,Summer,7.09,[13 - 25],"['Harem', 'Comedy', 'Drama', 'Magic', 'Romance', 'Ecchi', 'Fantasy', 'School', 'Seinen']",['Asread']
59,80,"Action, Military, Sci-Fi, Space, Mecha",TV,43,Sunrise,PG-13 - Teens 13 or older,1979,Spring,7.78,[37 - 49],"['Action', 'Military', 'Sci-Fi', 'Space', 'Mecha']",['Sunrise']
60,81,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,Sunrise,PG-13 - Teens 13 or older,1996,Winter,8.03,[1 - 13],"['Adventure', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi']",['Sunrise']
61,82,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,Sunrise,PG-13 - Teens 13 or older,1989,Winter,7.9,[1 - 13],"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['Sunrise']
62,83,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,Sunrise,PG-13 - Teens 13 or older,1998,Summer,6.79,[1 - 13],"['Military', 'Sci-Fi', 'Drama', 'Romance', 'Mecha']",['Sunrise']
63,84,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,Sunrise,PG-13 - Teens 13 or older,1991,Spring,7.3,[13 - 25],"['Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']",['Sunrise']
64,85,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,Sunrise,PG-13 - Teens 13 or older,1985,Spring,7.92,[49 - 61],"['Military', 'Sci-Fi', 'Space', 'Drama', 'Romance', 'Mecha']",['Sunrise']
65,86,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,Sunrise,PG-13 - Teens 13 or older,1986,Spring,6.66,[37 - 49],"['Space', 'Comedy', 'Mecha', 'Military', 'Drama', 'Sci-Fi']",['Sunrise']
66,87,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,"Sunrise, Studio Hibari",PG-13 - Teens 13 or older,1988,Winter,7.68,[1 - 13],"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']","['Sunrise', 'StudioHibari']"
67,88,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,Sunrise,PG-13 - Teens 13 or older,1991,Winter,6.67,[1 - 13],"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",['Sunrise']
68,89,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,"Sunrise, Studio Deen",PG-13 - Teens 13 or older,1993,Spring,6.76,[49 - 61],"['Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']","['Sunrise', 'StudioDeen']"
69,90,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,Sunrise,PG-13 - Teens 13 or older,1995,Spring,7.72,[49 - 61],"['Action', 'Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",['Sunrise']
70,91,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,Sunrise,PG-13 - Teens 13 or older,1997,Winter,7.76,[1 - 13],"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",['Sunrise']
71,92,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,Sunrise,PG-13 - Teens 13 or older,1996,Spring,7.32,[37 - 49],"['Sci-Fi', 'Adventure', 'Space', 'Drama', 'Mecha']",['Sunrise']
72,93,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Sunrise,R - 17+ (violence & profanity),2002,Fall,7.79,[49 - 61],"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",['Sunrise']
73,94,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,Sunrise,R - 17+ (violence & profanity),2004,Fall,7.22,[49 - 61],"['Action', 'Drama', 'Mecha', 'Military', 'Romance', 'Sci-Fi', 'Space']",['Sunrise']
74,95,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,"Sunrise, Nakamura Production",PG-13 - Teens 13 or older,1999,Spring,7.7,[49 - 61],"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Space', 'Drama', 'Romance', 'Mecha']","['Sunrise', 'NakamuraProduction']"
75,96,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,Sunrise,PG-13 - Teens 13 or older,1994,Spring,7.56,[49 - 61],"['Adventure', 'Comedy', 'Drama', 'MartialArts', 'Mecha', 'Romance', 'Sci-Fi', 'Space', 'Sports']",['Sunrise']
76,97,"Action, Sci-Fi, Adventure",TV,26,Gonzo,PG-13 - Teens 13 or older,2003,Spring,7.82,[25 - 37],"['Action', 'Sci-Fi', 'Adventure']",['Gonzo']
77,98,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,Sunrise,PG-13 - Teens 13 or older,2004,Fall,7.46,[25 - 37],"['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'ShoujoAi']",['Sunrise']
78,99,"Comedy, Drama, Fantasy, Magic",TV,26,Sunrise,PG-13 - Teens 13 or older,2005,Fall,7.31,[25 - 37],"['Comedy', 'Drama', 'Fantasy', 'Magic']",['Sunrise']
79,100,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,Hal Film Maker,PG-13 - Teens 13 or older,2001,Spring,7.2,[13 - 25],"['Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance', 'Shoujo', 'SuperPower']",['HalFilmMaker']
80,101,"Slice of Life, Supernatural, Drama, Romance",TV,12,Kyoto Animation,PG-13 - Teens 13 or older,2005,Winter,7.32,[1 - 13],"['SliceofLife', 'Supernatural', 'Drama', 'Romance']",['KyotoAnimation']
81,102,"Comedy, Drama, Romance, Shoujo",TV,26,TMS Entertainment,PG-13 - Teens 13 or older,2004,Spring,7.48,[25 - 37],"['Comedy', 'Drama', 'Romance', 'Shoujo']",['TMSEntertainment']
82,103,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,Gallop,G - All Ages,1994,Winter,7.39,[73 - 85],"['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",['Gallop']
83,104,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,Studio Pierrot,R - 17+ (violence & profanity),2000,Spring,7.23,[13 - 25],"['Adventure', 'Comedy', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",['StudioPierrot']
84,105,"Slice of Life, Comedy, Romance, Shounen",TV,13,Hal Film Maker,PG-13 - Teens 13 or older,2000,Spring,6.46,[13 - 25],"['SliceofLife', 'Comedy', 'Romance', 'Shounen']",['HalFilmMaker']
85,106,"Drama, Romance, School, Shoujo",TV,51,Toei Animation,PG-13 - Teens 13 or older,1996,Fall,7.7,[49 - 61],"['Drama', 'Romance', 'School', 'Shoujo']",['ToeiAnimation']
86,107,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,Studio Deen,PG-13 - Teens 13 or older,2002,Spring,7.23,[13 - 25],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen']",['StudioDeen']
87,108,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,Studio Deen,PG-13 - Teens 13 or older,2004,Winter,7.29,[1 - 13],"['Adventure', 'Fantasy', 'Psychological', 'Comedy', 'Shounen']",['StudioDeen']
88,109,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,Gonzo,PG-13 - Teens 13 or older,2004,Spring,6.81,[13 - 25],"['Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",['Gonzo']
89,110,"Action, Comedy, Drama, Shounen",TV,52,Nippon Animation,PG-13 - Teens 13 or older,1997,Spring,7.63,[49 - 61],"['Action', 'Comedy', 'Drama', 'Shounen']",['NipponAnimation']
90,111,"Sci-Fi, Adventure, Comedy, Magic",TV,52,Nippon Animation,PG - Children,1999,Spring,6.83,[49 - 61],"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",['NipponAnimation']
91,112,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,"Imagin, Studio Live",PG-13 - Teens 13 or older,2004,Winter,4.95,[1 - 13],"['Action', 'Ecchi', 'Adventure', 'Fantasy', 'Magic', 'Comedy', 'SuperPower', 'Sci-Fi']","['Imagin', 'StudioLive']"
92,113,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,Xebec,PG-13 - Teens 13 or older,2003,Spring,7.38,[25 - 37],"['Action', 'Mecha', 'Romance', 'Sci-Fi', 'Space']",['Xebec']
93,114,"Comedy, School, Shounen",TV,26,Production I.G,PG-13 - Teens 13 or older,2003,Fall,7.93,[25 - 37],"['Comedy', 'School', 'Shounen']",['ProductionI.G']
94,115,"Adventure, Comedy, Fantasy",TV,13,AIC,PG-13 - Teens 13 or older,1998,Winter,6.83,[13 - 25],"['Adventure', 'Comedy', 'Fantasy']",['AIC']
95,116,"Adventure, Comedy, Romance, Fantasy",TV,26,AIC,PG-13 - Teens 13 or older,1995,Fall,6.97,[25 - 37],"['Adventure', 'Comedy', 'Romance', 'Fantasy']",['AIC']
96,117,"Adventure, Comedy, Romance, Fantasy",OVA,7,AIC,PG-13 - Teens 13 or older,1995,Spring,7.32,[1 - 13],"['Adventure', 'Comedy', 'Romance', 'Fantasy']",['AIC']
97,118,"Adventure, Comedy, Fantasy",OVA,4,AIC,PG-13 - Teens 13 or older,1997,Winter,6.85,[1 - 13],"['Adventure', 'Comedy', 'Fantasy']",['AIC']
98,119,"Comedy, Drama, Romance, Slice of Life",TV,13,Zexcs,PG-13 - Teens 13 or older,2004,Fall,6.56,[13 - 25],"['Comedy', 'Drama', 'Romance', 'SliceofLife']",['Zexcs']
99,120,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,Studio Deen,PG-13 - Teens 13 or older,2001,Summer,7.69,[25 - 37],"['SliceofLife', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",['StudioDeen']
100,121,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,Bones,PG-13 - Teens 13 or older,2003,Fall,8.17,[49 - 61],"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Military', 'Shounen']",['Bones']
101,122,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,Studio Deen,PG-13 - Teens 13 or older,2002,Spring,7.96,[49 - 61],"['Music', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'Shoujo']",['StudioDeen']
102,123,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,Studio Pierrot,PG-13 - Teens 13 or older,1995,Spring,7.64,[49 - 61],"['Adventure', 'Fantasy', 'Magic', 'MartialArts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",['StudioPierrot']
103,124,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4,Studio Pierrot,PG-13 - Teens 13 or older,2001,Fall,6.86,[1 - 13],"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Shoujo']",['StudioPierrot']
104,125,"Comedy, Romance, School",TV,13,Telecom Animation Film,PG-13 - Teens 13 or older,2004,Fall,6.49,[13 - 25],"['Comedy', 'Romance', 'School']",['TelecomAnimationFilm']
105,126,"Comedy, Drama, Romance",TV,13,"ufotable, feel., Studio Flag",PG-13 - Teens 13 or older,2005,Spring,6.91,[13 - 25],"['Comedy', 'Drama', 'Romance']","['ufotable', 'feel.', 'StudioFlag']"
106,127,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,Gonzo,PG-13 - Teens 13 or older,2000,Spring,6.96,[13 - 25],"['Action', 'Sci-Fi', 'Comedy', 'Fantasy', 'Mecha', 'Shounen']",['Gonzo']
107,128,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6,Gonzo,PG-13 - Teens 13 or older,2002,Spring,6.79,[1 - 13],"['Action', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen']",['Gonzo']
108,129,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,Studio Pierrot,R - 17+ (violence & profanity),2000,Spring,7.59,[49 - 61],"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Shounen', 'Supernatural']",['StudioPierrot']
109,130,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25,Studio Pierrot,PG-13 - Teens 13 or older,2003,Fall,7.41,[25 - 37],"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Josei', 'Supernatural']",['StudioPierrot']
110,131,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26,Studio Pierrot,PG-13 - Teens 13 or older,2004,Spring,7.42,[25 - 37],"['Action', 'Adventure', 'Comedy', 'Demons', 'Drama', 'Josei', 'Supernatural']",['StudioPierrot']
111,132,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,Studio Deen,PG-13 - Teens 13 or older,2002,Fall,7.61,[49 - 61],"['Action', 'Comedy', 'Drama', 'Mystery', 'Shounen', 'SuperPower', 'Supernatural']",['StudioDeen']
112,133,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,Studio Matrix,R+ - Mild Nudity,2003,Summer,6.21,[1 - 13],"['Comedy', 'Ecchi', 'Romance', 'School', 'SliceofLife']",['StudioMatrix']
113,134,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,Madhouse,R - 17+ (violence & profanity),2003,Fall,7.42,[13 - 25],"['Action', 'Psychological', 'Military', 'Drama', 'Sci-Fi']",['Madhouse']
114,135,"Comedy, Game, Shounen, Supernatural",TV,75,Studio Pierrot,PG-13 - Teens 13 or older,2001,Fall,8.11,[73 - 85],"['Comedy', 'Game', 'Shounen', 'Supernatural']",['StudioPierrot']
